data;id_compra;loja;vendedor;produto;cliente_nome;cliente_genero;forma_pagamento
2025-09-02 16:16:36.420595;19;Rio de Janeiro;Juliana Almeida;Notebook Dell Inspiron;Christine Aquino;feminino;cartão de crédito
2025-09-02 16:28:40.351136;20;Florianópolis;Tiago Lima;Notebook Dell Inspiron;John Luis;masculino;cartão de crédito
2025-09-02 16:59:40.754489;21;Florianópolis;Tiago Lima;Fone de Ouvido Sony;Bryant Williams;masculino;dinheiro
2025-09-02 17:36:36.549656;22;Porto Alegre;Mariana Gomes;Fone de Ouvido Sony;Jame Rendon;masculino;boleto
2025-09-02 17:44:44.886970;23;Belo Horizonte;Carlos Silva;Fone de Ouvido Sony;Christine Chadwick;feminino;dinheiro
2025-09-02 21:21:37.241298;24;São Paulo;Ana Oliveira;Tablet Apple Ipad;Michelle Fink;feminino;boleto
2025-09-03 14:14:38.636836;25;Belo Horizonte;Fernanda Costa;Fone de Ouvido Sony;Ray Richardson;masculino;dinheiro
2025-09-03 14:51:41.099376;26;Belo Horizonte;Carlos Silva;Notebook Dell Inspiron;Brian Goehner;masculino;cartão de crédito
2025-09-03 16:07:35.382065;27;Porto Alegre;Mariana Gomes;Fone de Ouvido Sony;Christie Wilson;feminino;dinheiro
2025-09-03 16:47:40.479330;28;Porto Alegre;Mariana Gomes;Fone de Ouvido Sony;Amanda Daniels;feminino;cartão de crédito
2025-09-03 17:51:42.424740;29;Rio de Janeiro;Juliana Almeida;Fone de Ouvido Sony;Steven Blair;masculino;pix
2025-09-03 18:52:35.739888;30;Rio de Janeiro;Pedro Souza;Smartwatch Garmin;Lorene Lane;feminino;cartão de crédito
2025-09-03 20:32:39.056550;31;São Paulo;Ana Oliveira;Tablet Apple Ipad;Lynne Bramer;feminino;boleto
2025-09-03 20:45:41.039299;32;Belo Horizonte;Fernanda Costa;Smartphone Samsung Galaxy;Jason Scates;masculino;pix
2025-09-03 22:14:45.384484;33;Belo Horizonte;Carlos Silva;Notebook Dell Inspiron;Lillian Steffan;feminino;cartão de crédito
2025-09-04 13:55:43.929076;34;Belo Horizonte;Carlos Silva;Smartphone Samsung Galaxy;Matthew Phillis;masculino;dinheiro
2025-09-04 15:04:42.867307;35;Porto Alegre;Roberto Ferreira;Fone de Ouvido Sony;Kelley Vick;feminino;cartão de crédito
2025-09-04 16:07:37.752662;36;Porto Alegre;Roberto Ferreira;Fone de Ouvido Sony;Jose Macri;masculino;boleto
2025-09-04 17:14:35.366541;37;Rio de Janeiro;Pedro Souza;Notebook Dell Inspiron;Irene Morin;feminino;pix
2025-09-04 18:26:44.218505;38;Rio de Janeiro;Juliana Almeida;Fone de Ouvido Sony;James Gonzales;masculino;dinheiro
2025-09-04 19:28:38.512061;39;São Paulo;Lucas Pereira;Notebook Dell Inspiron;Kimberly Watts;feminino;dinheiro
2025-09-05 17:31:38.404753;40;Porto Alegre;Roberto Ferreira;Notebook Dell Inspiron;Richard Chronis;masculino;boleto
2025-09-05 17:31:44.049136;41;Florianópolis;Tiago Lima;Notebook Dell Inspiron;Ernie Roberto;masculino;dinheiro
2025-09-05 18:44:38.776996;42;Belo Horizonte;Fernanda Costa;Fone de Ouvido Sony;Ellis Kiser;masculino;dinheiro
2025-09-05 19:13:37.300594;43;Porto Alegre;Roberto Ferreira;Notebook Dell Inspiron;Misty Ball;feminino;boleto
2025-09-05 19:35:39.896653;44;Belo Horizonte;Fernanda Costa;Tablet Apple Ipad;Seymour Osborne;masculino;cartão de crédito
2025-09-05 21:26:42.996412;45;Belo Horizonte;Fernanda Costa;Notebook Dell Inspiron;Wendy Hart;feminino;cartão de crédito
2025-09-05 22:24:41.398710;46;São Paulo;Ana Oliveira;Smartphone Samsung Galaxy;Victor Gaines;masculino;boleto
2025-09-06 13:35:37.074481;47;São Paulo;Ana Oliveira;Smartphone Samsung Galaxy;Erna Anderson;feminino;dinheiro
2025-09-06 15:12:35.753847;48;Porto Alegre;Roberto Ferreira;Smartwatch Garmin;Suzanne Torres;feminino;cartão de crédito
2025-09-06 15:28:35.754464;49;São Paulo;Ana Oliveira;Smartwatch Garmin;Dexter Kunze;masculino;cartão de crédito
2025-09-06 15:30:41.464096;50;Porto Alegre;Mariana Gomes;Tablet Apple Ipad;Diana Walker;feminino;boleto
2025-09-06 17:31:37.095332;51;São Paulo;Lucas Pereira;Smartphone Samsung Galaxy;Clayton Miranda;masculino;pix
2025-09-06 17:35:39.439613;52;Rio de Janeiro;Pedro Souza;Notebook Dell Inspiron;Justin Chase;masculino;boleto
2025-09-06 17:49:42.208708;53;São Paulo;Lucas Pereira;Tablet Apple Ipad;Frances Lawson;feminino;boleto
2025-09-06 20:15:43.827374;54;São Paulo;Ana Oliveira;Notebook Dell Inspiron;Dorothy Bouley;feminino;dinheiro
2025-09-06 22:43:40.732125;55;Belo Horizonte;Fernanda Costa;Fone de Ouvido Sony;Annie Jacobs;feminino;pix
2025-09-07 12:47:35.830497;56;Florianópolis;Gabriela Santos;Fone de Ouvido Sony;Leanne Cass;feminino;boleto
2025-09-07 15:15:41.837262;57;Porto Alegre;Roberto Ferreira;Smartwatch Garmin;Patricia Reid;feminino;cartão de crédito
2025-09-07 15:22:39.886096;58;São Paulo;Ana Oliveira;Smartphone Samsung Galaxy;Niesha Brown;feminino;dinheiro
2025-09-07 17:22:41.781590;59;Belo Horizonte;Fernanda Costa;Smartwatch Garmin;Kimberly English;feminino;dinheiro
2025-09-07 18:20:40.357169;60;Rio de Janeiro;Pedro Souza;Notebook Dell Inspiron;Wayne Daniel;masculino;dinheiro
2025-09-07 22:05:35.357676;61;São Paulo;Lucas Pereira;Notebook Dell Inspiron;Ida Brown;feminino;boleto
2025-09-08 13:04:38.321964;62;São Paulo;Ana Oliveira;Smartwatch Garmin;Letha Cutright;feminino;dinheiro
2025-09-08 13:29:45.105328;63;Florianópolis;Gabriela Santos;Fone de Ouvido Sony;Bo Mckenzie;masculino;dinheiro
2025-09-08 13:58:38.913045;64;Belo Horizonte;Carlos Silva;Tablet Apple Ipad;Amos Fratus;masculino;cartão de crédito
2025-09-08 14:36:35.342611;65;Florianópolis;Tiago Lima;Fone de Ouvido Sony;Scot Ruiz;masculino;cartão de crédito
2025-09-08 17:32:43.822104;66;São Paulo;Lucas Pereira;Notebook Dell Inspiron;Paula Basham;feminino;boleto
2025-09-08 19:02:40.205505;67;Porto Alegre;Mariana Gomes;Smartwatch Garmin;Cecil Holland;masculino;boleto
2025-09-08 20:30:39.960220;68;Rio de Janeiro;Juliana Almeida;Smartwatch Garmin;Timothy Corona;masculino;pix
2025-09-08 21:12:37.707006;69;São Paulo;Ana Oliveira;Notebook Dell Inspiron;Deborah Johnson;feminino;pix
2025-09-08 21:52:39.795110;70;Porto Alegre;Mariana Gomes;Fone de Ouvido Sony;James Hobbs;masculino;cartão de crédito
2025-09-08 22:42:35.273274;71;São Paulo;Lucas Pereira;Fone de Ouvido Sony;Stanley Garrett;masculino;boleto
2025-09-08 23:02:39.771961;72;Porto Alegre;Roberto Ferreira;Fone de Ouvido Sony;Cynthia Young;feminino;dinheiro
2025-09-09 12:41:35.360427;73;São Paulo;Ana Oliveira;Notebook Dell Inspiron;Jill Sanner;feminino;dinheiro
2025-09-09 15:46:36.718771;74;Florianópolis;Tiago Lima;Smartphone Samsung Galaxy;Nicholas Aguilar;masculino;dinheiro
2025-09-09 16:43:39.593476;75;Belo Horizonte;Fernanda Costa;Smartwatch Garmin;Deborah Richardson;feminino;cartão de crédito
2025-09-09 21:03:44.237622;76;Belo Horizonte;Carlos Silva;Notebook Dell Inspiron;Daniel Hicks;masculino;cartão de crédito
2025-09-10 12:26:36.316737;77;Porto Alegre;Roberto Ferreira;Smartwatch Garmin;Dennis Gilmore;masculino;cartão de crédito
2025-09-10 17:40:40.538680;78;Florianópolis;Gabriela Santos;Fone de Ouvido Sony;Lisa Boudreaux;feminino;cartão de crédito
2025-09-10 21:21:42.875179;79;Porto Alegre;Roberto Ferreira;Notebook Dell Inspiron;Kimberly Hutchison;feminino;cartão de crédito
2025-09-11 13:03:43.489228;80;Rio de Janeiro;Pedro Souza;Fone de Ouvido Sony;James Ferreira;masculino;dinheiro
2025-09-11 13:12:40.888988;81;Florianópolis;Tiago Lima;Smartphone Samsung Galaxy;Carolyn Carter;feminino;boleto
2025-09-11 15:15:39.811221;82;São Paulo;Ana Oliveira;Smartphone Samsung Galaxy;Rhoda Reagan;feminino;pix
2025-09-11 17:16:41.645471;83;São Paulo;Lucas Pereira;Notebook Dell Inspiron;Rafael Daniell;masculino;boleto
2025-09-11 19:19:45.845686;84;Belo Horizonte;Carlos Silva;Smartphone Samsung Galaxy;Irene Fischer;feminino;pix
2025-09-11 19:34:37.137497;85;Rio de Janeiro;Juliana Almeida;Smartphone Samsung Galaxy;Romeo Day;masculino;boleto
2025-09-11 21:40:39.366739;86;Florianópolis;Tiago Lima;Smartwatch Garmin;Denny Yeoman;masculino;boleto
2025-09-12 14:03:36.413460;87;Rio de Janeiro;Juliana Almeida;Smartphone Samsung Galaxy;Marcus Brooks;masculino;cartão de crédito
2025-09-12 22:56:40.805802;88;Florianópolis;Tiago Lima;Notebook Dell Inspiron;Monte Malone;masculino;cartão de crédito
2025-09-13 17:34:40.754976;89;Belo Horizonte;Fernanda Costa;Tablet Apple Ipad;Margaret Murillo;feminino;pix
2025-09-13 19:24:37.975452;90;Belo Horizonte;Fernanda Costa;Notebook Dell Inspiron;Ann Malone;feminino;cartão de crédito
2025-09-13 19:43:42.085243;91;Porto Alegre;Roberto Ferreira;Notebook Dell Inspiron;Ricardo Big;masculino;cartão de crédito
2025-09-13 20:34:43.362244;92;Florianópolis;Gabriela Santos;Fone de Ouvido Sony;Joe Purifoy;masculino;cartão de crédito
2025-09-13 22:50:40.801388;93;São Paulo;Ana Oliveira;Smartwatch Garmin;James Horsley;masculino;dinheiro
2025-09-14 13:37:40.731732;94;Florianópolis;Tiago Lima;Smartwatch Garmin;Margaret Cooper;feminino;cartão de crédito
2025-09-14 16:56:39.338909;95;Florianópolis;Gabriela Santos;Smartphone Samsung Galaxy;Lauren Shankle;feminino;boleto
2025-09-14 16:57:39.026792;96;Rio de Janeiro;Pedro Souza;Tablet Apple Ipad;Dorothy Martz;feminino;dinheiro
2025-09-14 20:07:40.143067;97;Belo Horizonte;Carlos Silva;Fone de Ouvido Sony;Kristyn Salmon;feminino;cartão de crédito
2025-09-14 21:34:37.822677;98;São Paulo;Lucas Pereira;Fone de Ouvido Sony;Deanna Simila;feminino;dinheiro
2025-09-15 14:15:36.713865;99;Florianópolis;Tiago Lima;Fone de Ouvido Sony;Patrick Wofford;masculino;dinheiro
2025-09-15 18:01:36.723237;100;Belo Horizonte;Carlos Silva;Fone de Ouvido Sony;John Hayes;masculino;pix
2025-09-15 20:10:45.803958;101;Porto Alegre;Mariana Gomes;Tablet Apple Ipad;Rebecca Head;feminino;dinheiro
2025-09-15 20:57:39.025584;102;Belo Horizonte;Carlos Silva;Smartphone Samsung Galaxy;Maria Barnes;feminino;cartão de crédito
2025-09-16 13:56:38.900576;103;Belo Horizonte;Carlos Silva;Tablet Apple Ipad;Ernie Rappold;masculino;cartão de crédito
2025-09-16 14:12:38.982975;104;Belo Horizonte;Fernanda Costa;Smartphone Samsung Galaxy;Daniel Baldwin;masculino;dinheiro
2025-09-16 14:33:41.463696;105;Rio de Janeiro;Pedro Souza;Notebook Dell Inspiron;Daniel Rogers;masculino;boleto
2025-09-16 15:24:45.054243;106;Belo Horizonte;Fernanda Costa;Tablet Apple Ipad;Vickie Espinoza;feminino;boleto
2025-09-16 15:32:44.222547;107;Belo Horizonte;Carlos Silva;Smartwatch Garmin;Damaris Washington;feminino;dinheiro
2025-09-16 16:08:38.630560;108;Rio de Janeiro;Pedro Souza;Smartphone Samsung Galaxy;Cleo Rosen;masculino;boleto
2025-09-16 17:26:37.536817;109;São Paulo;Lucas Pereira;Tablet Apple Ipad;Mary Jackson;feminino;pix
2025-09-16 18:19:38.609440;110;Porto Alegre;Roberto Ferreira;Smartwatch Garmin;Mary Snow;feminino;boleto
2025-09-16 18:38:44.327867;111;Rio de Janeiro;Pedro Souza;Smartwatch Garmin;Martha Reese;feminino;boleto
2025-09-16 21:07:37.232524;112;Rio de Janeiro;Pedro Souza;Fone de Ouvido Sony;Dawn Arnold;feminino;dinheiro
2025-09-16 21:30:39.641495;113;Belo Horizonte;Carlos Silva;Notebook Dell Inspiron;Victoria Curnutte;feminino;boleto
2025-09-16 22:04:35.451010;114;Belo Horizonte;Carlos Silva;Notebook Dell Inspiron;Brian Estrada;masculino;dinheiro
2025-09-16 23:00:35.985423;115;Florianópolis;Tiago Lima;Tablet Apple Ipad;Letty Dieguez;feminino;boleto
2025-09-17 16:33:37.791345;116;Belo Horizonte;Carlos Silva;Smartphone Samsung Galaxy;Consuelo Phipps;feminino;cartão de crédito
2025-09-17 17:08:41.336252;117;Belo Horizonte;Carlos Silva;Smartwatch Garmin;Patrice Valcourt;feminino;pix
2025-09-17 17:13:42.048191;118;Porto Alegre;Roberto Ferreira;Notebook Dell Inspiron;David Petti;masculino;boleto
2025-09-17 18:09:40.660194;119;Florianópolis;Gabriela Santos;Notebook Dell Inspiron;William Williams;masculino;cartão de crédito
2025-09-17 19:38:35.811443;120;Rio de Janeiro;Juliana Almeida;Fone de Ouvido Sony;Arianne Miller;feminino;dinheiro
2025-09-17 20:59:38.038565;121;Florianópolis;Tiago Lima;Tablet Apple Ipad;Michael Mccafferty;masculino;pix
2025-09-18 13:57:45.169013;122;Florianópolis;Gabriela Santos;Smartwatch Garmin;Sydney Moseley;feminino;boleto
2025-09-18 15:10:37.097384;123;São Paulo;Ana Oliveira;Notebook Dell Inspiron;Dawn Davis;feminino;cartão de crédito
2025-09-18 18:22:39.812825;124;São Paulo;Lucas Pereira;Smartwatch Garmin;Sheena Gilchrist;feminino;pix
2025-09-18 18:39:38.106881;125;Rio de Janeiro;Pedro Souza;Smartwatch Garmin;Jerome Whittaker;masculino;cartão de crédito
2025-09-18 19:26:36.051263;126;Florianópolis;Gabriela Santos;Tablet Apple Ipad;Joyce Saumier;feminino;pix
2025-09-18 20:46:37.508553;127;Belo Horizonte;Fernanda Costa;Smartphone Samsung Galaxy;Linda Penalosa;feminino;pix
2025-09-18 21:23:38.857347;128;Belo Horizonte;Fernanda Costa;Smartphone Samsung Galaxy;Joy Angotti;feminino;pix
2025-09-18 22:18:43.369792;129;Belo Horizonte;Fernanda Costa;Notebook Dell Inspiron;Ronald Phillips;masculino;dinheiro
2025-09-18 23:04:40.413465;130;Florianópolis;Gabriela Santos;Smartwatch Garmin;Charles Mendoza;masculino;pix
2025-09-18 23:14:42.834410;131;Florianópolis;Tiago Lima;Tablet Apple Ipad;Charlie Gonzales;masculino;pix
2025-09-19 13:23:36.482017;132;São Paulo;Lucas Pereira;Smartphone Samsung Galaxy;Ruth Valentine;feminino;dinheiro
2025-09-20 12:38:39.387694;133;Florianópolis;Gabriela Santos;Notebook Dell Inspiron;Lisa Porterfield;feminino;boleto
2025-09-20 13:17:40.071856;134;Porto Alegre;Roberto Ferreira;Fone de Ouvido Sony;Cynthia Dawson;feminino;pix
2025-09-20 15:40:45.752801;135;Florianópolis;Gabriela Santos;Smartwatch Garmin;Adeline Berry;feminino;boleto
2025-09-20 15:51:45.943757;136;São Paulo;Ana Oliveira;Tablet Apple Ipad;Larry Myers;masculino;pix
2025-09-20 17:10:44.244556;137;Porto Alegre;Roberto Ferreira;Smartwatch Garmin;Janet Warner;feminino;boleto
2025-09-20 17:50:45.617000;138;Rio de Janeiro;Juliana Almeida;Notebook Dell Inspiron;Rodolfo Pentz;masculino;cartão de crédito
2025-09-20 20:13:40.963425;139;Rio de Janeiro;Juliana Almeida;Smartwatch Garmin;Earl Luvene;masculino;dinheiro
2025-09-20 21:59:43.997414;140;Porto Alegre;Mariana Gomes;Smartphone Samsung Galaxy;Randall Gorman;masculino;cartão de crédito
2025-09-21 14:05:42.657972;141;Porto Alegre;Roberto Ferreira;Tablet Apple Ipad;Michael Miller;masculino;boleto
2025-09-21 16:17:36.814867;142;Rio de Janeiro;Pedro Souza;Notebook Dell Inspiron;Isabella Rodriguez;feminino;boleto
2025-09-21 16:22:36.563760;143;Porto Alegre;Roberto Ferreira;Smartwatch Garmin;Edna Seaton;feminino;boleto
2025-09-21 16:33:39.478315;144;Florianópolis;Gabriela Santos;Fone de Ouvido Sony;Michelle Barnes;feminino;boleto
2025-09-21 19:37:35.659491;145;Florianópolis;Gabriela Santos;Smartphone Samsung Galaxy;Margaret Kilpatrick;feminino;cartão de crédito
2025-09-22 12:45:41.811845;146;Belo Horizonte;Fernanda Costa;Notebook Dell Inspiron;Kelly Antonio;masculino;cartão de crédito
2025-09-22 16:03:44.875651;147;Rio de Janeiro;Juliana Almeida;Smartwatch Garmin;Mary Ostrander;feminino;dinheiro
2025-09-22 16:36:41.524790;148;Porto Alegre;Mariana Gomes;Smartphone Samsung Galaxy;Gale Foltz;feminino;boleto
2025-09-22 16:40:40.698811;149;Belo Horizonte;Fernanda Costa;Smartwatch Garmin;Dale Akers;masculino;cartão de crédito
2025-09-22 17:03:37.114265;150;Porto Alegre;Roberto Ferreira;Smartphone Samsung Galaxy;Christal Gonzales;feminino;boleto
2025-09-22 20:40:42.017794;151;São Paulo;Lucas Pereira;Smartwatch Garmin;Robert Toft;masculino;dinheiro
2025-09-23 13:07:41.932324;152;Rio de Janeiro;Pedro Souza;Smartphone Samsung Galaxy;Clarence Barocio;masculino;pix
2025-09-23 15:51:41.826561;153;Florianópolis;Tiago Lima;Smartwatch Garmin;Malik Hurley;masculino;boleto
2025-09-23 16:36:36.565782;154;São Paulo;Ana Oliveira;Smartwatch Garmin;Katie Walker;feminino;cartão de crédito
2025-09-23 21:47:35.873614;155;Florianópolis;Tiago Lima;Tablet Apple Ipad;Michael Massa;masculino;dinheiro
2025-09-24 13:17:36.853003;156;Rio de Janeiro;Pedro Souza;Smartphone Samsung Galaxy;Tatiana Ladue;feminino;boleto
2025-09-24 15:36:36.182775;157;Porto Alegre;Roberto Ferreira;Notebook Dell Inspiron;Harold Taylor;masculino;pix
2025-09-24 19:39:38.500085;158;Belo Horizonte;Carlos Silva;Fone de Ouvido Sony;Tony Atwood;masculino;boleto
2025-09-24 19:43:35.553944;159;Belo Horizonte;Fernanda Costa;Fone de Ouvido Sony;Margaret Packard;feminino;boleto
2025-09-24 20:01:39.005638;160;Florianópolis;Tiago Lima;Notebook Dell Inspiron;Florene Welch;feminino;dinheiro
2025-09-24 23:01:41.696994;161;São Paulo;Ana Oliveira;Smartphone Samsung Galaxy;Javier Borjon;masculino;pix
2025-09-25 13:57:40.762824;162;São Paulo;Lucas Pereira;Fone de Ouvido Sony;Paul Anglemyer;masculino;dinheiro
2025-09-25 15:10:44.800473;163;Belo Horizonte;Carlos Silva;Smartphone Samsung Galaxy;Darlene Wilkes;feminino;pix
2025-09-26 12:31:37.759128;164;Belo Horizonte;Fernanda Costa;Smartwatch Garmin;Maria Matava;feminino;pix
2025-09-26 13:10:36.815645;165;Porto Alegre;Roberto Ferreira;Notebook Dell Inspiron;Sheena Herndon;feminino;boleto
2025-09-26 14:23:42.461789;166;São Paulo;Ana Oliveira;Fone de Ouvido Sony;Joyce Botto;feminino;dinheiro
2025-09-27 16:45:44.086513;167;Rio de Janeiro;Juliana Almeida;Notebook Dell Inspiron;Tim Holland;masculino;dinheiro
2025-09-27 22:43:40.881917;168;Belo Horizonte;Fernanda Costa;Tablet Apple Ipad;Robert Havel;masculino;pix
2025-09-27 23:17:44.103907;169;São Paulo;Ana Oliveira;Notebook Dell Inspiron;Mary Gehling;feminino;dinheiro
2025-09-28 14:55:44.048636;170;Rio de Janeiro;Juliana Almeida;Tablet Apple Ipad;Marian Miller;feminino;boleto
2025-09-28 18:14:39.860478;171;Porto Alegre;Roberto Ferreira;Fone de Ouvido Sony;Glenda Robinette;feminino;boleto
2025-09-28 19:25:38.493162;172;Porto Alegre;Roberto Ferreira;Fone de Ouvido Sony;Jeanette Valdez;feminino;dinheiro
2025-09-28 20:39:36.491959;173;Belo Horizonte;Fernanda Costa;Smartphone Samsung Galaxy;Tim Lewis;masculino;boleto
2025-09-28 22:11:42.678106;174;Florianópolis;Gabriela Santos;Fone de Ouvido Sony;Jerry Kneser;masculino;dinheiro
2025-09-29 15:51:42.788593;175;São Paulo;Lucas Pereira;Smartphone Samsung Galaxy;Arthur Suggs;masculino;pix
2025-09-29 16:47:40.162574;176;Rio de Janeiro;Pedro Souza;Fone de Ouvido Sony;Donald Saxon;masculino;pix
2025-09-29 21:28:43.984321;177;Rio de Janeiro;Juliana Almeida;Smartphone Samsung Galaxy;Wendy Hughes;feminino;dinheiro
2025-09-30 14:20:35.761891;178;Belo Horizonte;Fernanda Costa;Tablet Apple Ipad;Michael Cacho;masculino;cartão de crédito
2025-09-30 14:23:41.744793;179;São Paulo;Lucas Pereira;Smartphone Samsung Galaxy;Jennifer Ortiz;feminino;cartão de crédito
2025-09-30 15:02:42.059005;180;Florianópolis;Gabriela Santos;Tablet Apple Ipad;Shannon Hall;masculino;dinheiro
2025-09-30 15:07:45.789960;181;Porto Alegre;Roberto Ferreira;Notebook Dell Inspiron;Vincent Brink;masculino;pix
2025-09-30 15:36:40.551466;182;São Paulo;Ana Oliveira;Smartwatch Garmin;Donna Albert;feminino;cartão de crédito
2025-09-30 16:52:43.927967;183;São Paulo;Ana Oliveira;Smartphone Samsung Galaxy;Susan Perez;feminino;dinheiro
2025-09-30 17:00:36.487037;184;São Paulo;Ana Oliveira;Tablet Apple Ipad;Winona Anderson;feminino;cartão de crédito
2025-09-30 17:44:45.636392;185;Rio de Janeiro;Pedro Souza;Fone de Ouvido Sony;Mary Seling;feminino;pix
2025-09-30 19:54:38.108481;186;Porto Alegre;Roberto Ferreira;Tablet Apple Ipad;Loren Cannaday;masculino;boleto
2025-09-30 20:10:41.913474;187;Porto Alegre;Roberto Ferreira;Smartwatch Garmin;Robby Li;masculino;dinheiro
2025-09-30 20:16:44.744814;188;São Paulo;Ana Oliveira;Smartphone Samsung Galaxy;Cindy Motte;feminino;boleto
2025-09-30 21:30:42.178427;189;Belo Horizonte;Carlos Silva;Tablet Apple Ipad;Christie Bella;feminino;boleto
2025-09-30 21:44:39.885785;190;Rio de Janeiro;Juliana Almeida;Tablet Apple Ipad;Mabel Robinson;feminino;pix
2025-09-30 21:50:41.335987;191;Belo Horizonte;Fernanda Costa;Smartwatch Garmin;Michael Garcia;masculino;cartão de crédito
2025-09-30 22:23:39.233422;192;Florianópolis;Tiago Lima;Fone de Ouvido Sony;John Husseini;masculino;cartão de crédito
2025-10-01 14:46:42.873717;193;Belo Horizonte;Carlos Silva;Fone de Ouvido Sony;Irene Smith;feminino;pix
2025-10-01 16:01:45.244380;194;Florianópolis;Gabriela Santos;Smartwatch Garmin;Bonnie Cook;feminino;pix
2025-10-01 18:58:41.286741;195;Belo Horizonte;Fernanda Costa;Smartphone Samsung Galaxy;Howard Durham;masculino;pix
2025-10-01 20:23:40.893930;196;Belo Horizonte;Carlos Silva;Smartphone Samsung Galaxy;Edward Gordon;masculino;boleto
2025-10-01 21:16:39.686586;197;São Paulo;Ana Oliveira;Notebook Dell Inspiron;Donald Bush;masculino;cartão de crédito
2025-10-01 21:51:38.428993;198;Porto Alegre;Mariana Gomes;Notebook Dell Inspiron;Patty Nall;feminino;cartão de crédito
2025-10-01 23:09:38.997487;199;Belo Horizonte;Fernanda Costa;Tablet Apple Ipad;Juan Reyes;masculino;cartão de crédito
2025-10-02 16:52:42.422315;200;Porto Alegre;Mariana Gomes;Smartphone Samsung Galaxy;Barbara Steed;feminino;boleto
2025-10-02 18:01:37.983121;201;São Paulo;Ana Oliveira;Smartwatch Garmin;Kerry Herkert;masculino;boleto
2025-10-02 20:40:44.208391;202;São Paulo;Ana Oliveira;Smartphone Samsung Galaxy;Robbyn Curtis;feminino;boleto
2025-10-03 14:41:37.185924;203;Rio de Janeiro;Juliana Almeida;Smartphone Samsung Galaxy;Kathleen Boyer;feminino;dinheiro
2025-10-03 17:58:44.255406;204;Rio de Janeiro;Juliana Almeida;Fone de Ouvido Sony;Armando Nicholson;masculino;boleto
2025-10-03 19:05:37.348038;205;Belo Horizonte;Fernanda Costa;Tablet Apple Ipad;Salvador Gott;masculino;pix
2025-10-03 19:54:41.752630;206;Belo Horizonte;Fernanda Costa;Notebook Dell Inspiron;Shanita Srinivasan;feminino;pix
2025-10-04 13:44:37.301159;207;Florianópolis;Tiago Lima;Tablet Apple Ipad;Mary Anderson;feminino;boleto
2025-10-04 14:50:41.549948;208;Belo Horizonte;Carlos Silva;Notebook Dell Inspiron;Frederick Stokes;masculino;boleto
2025-10-04 16:53:37.577358;209;Porto Alegre;Roberto Ferreira;Notebook Dell Inspiron;Derrick Thompson;masculino;cartão de crédito
2025-10-04 19:09:37.463628;210;Belo Horizonte;Fernanda Costa;Fone de Ouvido Sony;Bobby Carle;masculino;cartão de crédito
2025-10-04 19:11:39.212286;211;São Paulo;Lucas Pereira;Fone de Ouvido Sony;Fred Carmichael;masculino;cartão de crédito
